"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 28 18:34:37 GMT 2023","Tue Nov 28 18:34:37 GMT 2023","151","","Check the site Elemental Selenium","","","","[case 16] should check search elements on page Tips ",""
"passed","Tue Nov 28 18:34:27 GMT 2023","Tue Nov 28 18:34:27 GMT 2023","106","","Check the site Elemental Selenium","","","","[case 6] should check 3 blocks ",""
"passed","Tue Nov 28 18:34:37 GMT 2023","Tue Nov 28 18:34:37 GMT 2023","142","","Check the site Elemental Selenium","","","","[case 18] should check text on External Resources Page  ",""
"passed","Tue Nov 28 18:34:37 GMT 2023","Tue Nov 28 18:34:38 GMT 2023","136","","Check the site Elemental Selenium","","","","[case 19] should check all imgs on External Resources Page  ",""
"passed","Tue Nov 28 18:34:37 GMT 2023","Tue Nov 28 18:34:37 GMT 2023","74","","Check the site Elemental Selenium","","","","[case 17] should check clickable of logo ",""
"passed","Tue Nov 28 18:34:27 GMT 2023","Tue Nov 28 18:34:27 GMT 2023","76","","Check the site Elemental Selenium","","","","[case 5] should check Skip it, take me to the tips ",""
"passed","Tue Nov 28 18:34:37 GMT 2023","Tue Nov 28 18:34:37 GMT 2023","170","","Check the site Elemental Selenium","","","","[case 14] should check main title on page Tips ",""
"passed","Tue Nov 28 18:34:27 GMT 2023","Tue Nov 28 18:34:29 GMT 2023","1433","","Check the site Elemental Selenium","","","","[case 9] should Names`s Blocks in footer ",""
"passed","Tue Nov 28 18:34:26 GMT 2023","Tue Nov 28 18:34:26 GMT 2023","597","","Check the site Elemental Selenium","","","","[case 1] should check main logo",""
"passed","Tue Nov 28 18:34:26 GMT 2023","Tue Nov 28 18:34:27 GMT 2023","187","","Check the site Elemental Selenium","","","","[case 2] should check header elements",""
"passed","Tue Nov 28 18:34:38 GMT 2023","Tue Nov 28 18:34:38 GMT 2023","190","","Check the site Elemental Selenium","","","","[case 20] should check all imgs on External Resources Page  ",""
"passed","Tue Nov 28 18:34:27 GMT 2023","Tue Nov 28 18:34:27 GMT 2023","113","","Check the site Elemental Selenium","","","","[case 7] should check text in the blocks ",""
"passed","Tue Nov 28 18:34:27 GMT 2023","Tue Nov 28 18:34:27 GMT 2023","177","","Check the site Elemental Selenium","","","","[case 8] should check transitions in blocks ",""
"passed","Tue Nov 28 18:34:29 GMT 2023","Tue Nov 28 18:34:35 GMT 2023","6271","","Check the site Elemental Selenium","","","","[case 12] should check serch for word ",""
"passed","Tue Nov 28 18:34:27 GMT 2023","Tue Nov 28 18:34:27 GMT 2023","107","","Check the site Elemental Selenium","","","","[case 3] should check title and text under title ",""
"passed","Tue Nov 28 18:34:35 GMT 2023","Tue Nov 28 18:34:37 GMT 2023","1446","","Check the site Elemental Selenium","","","","[case 13] should check all right reserved in footer ",""
"passed","Tue Nov 28 18:34:37 GMT 2023","Tue Nov 28 18:34:37 GMT 2023","210","","Check the site Elemental Selenium","","","","[case 15] should check filters on page Tips ",""
"passed","Tue Nov 28 18:34:27 GMT 2023","Tue Nov 28 18:34:27 GMT 2023","104","","Check the site Elemental Selenium","","","","[case 4] should check email field and Join the mailing list button ",""
"passed","Tue Nov 28 18:34:29 GMT 2023","Tue Nov 28 18:34:29 GMT 2023","181","","Check the site Elemental Selenium","","","","[case 11] should check select the language ",""
