"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 21:13:58 GMT 2023","Wed Nov 29 21:13:58 GMT 2023","134","","Check the site Elemental Selenium","","","","[case 11] should check select the language ",""
"passed","Wed Nov 29 21:13:54 GMT 2023","Wed Nov 29 21:13:54 GMT 2023","185","","Check the site Elemental Selenium","","","","[case 2] should check header elements",""
"passed","Wed Nov 29 21:14:06 GMT 2023","Wed Nov 29 21:14:06 GMT 2023","196","","Check the site Elemental Selenium","","","","[case 20] should check all imgs on External Resources Page  ",""
"passed","Wed Nov 29 21:13:55 GMT 2023","Wed Nov 29 21:13:56 GMT 2023","1442","","Check the site Elemental Selenium","","","","[case 9] should Names`s Blocks in footer ",""
"passed","Wed Nov 29 21:13:54 GMT 2023","Wed Nov 29 21:13:54 GMT 2023","80","","Check the site Elemental Selenium","","","","[case 5] should check Skip it, take me to the tips ",""
"passed","Wed Nov 29 21:14:06 GMT 2023","Wed Nov 29 21:14:06 GMT 2023","58","","Check the site Elemental Selenium","","","","""before each"" hook for Check the site Elemental Selenium",""
"passed","Wed Nov 29 21:14:05 GMT 2023","Wed Nov 29 21:14:06 GMT 2023","145","","Check the site Elemental Selenium","","","","[case 19] should check all imgs on External Resources Page  ",""
"passed","Wed Nov 29 21:14:05 GMT 2023","Wed Nov 29 21:14:05 GMT 2023","213","","Check the site Elemental Selenium","","","","[case 15] should check filters on page Tips ",""
"passed","Wed Nov 29 21:13:55 GMT 2023","Wed Nov 29 21:13:55 GMT 2023","174","","Check the site Elemental Selenium","","","","[case 8] should check transitions in blocks ",""
"passed","Wed Nov 29 21:13:54 GMT 2023","Wed Nov 29 21:13:54 GMT 2023","112","","Check the site Elemental Selenium","","","","[case 6] should check 3 blocks ",""
"passed","Wed Nov 29 21:13:58 GMT 2023","Wed Nov 29 21:14:03 GMT 2023","5351","","Check the site Elemental Selenium","","","","[case 12] should check serch for word ",""
"passed","Wed Nov 29 21:13:53 GMT 2023","Wed Nov 29 21:13:54 GMT 2023","537","","Check the site Elemental Selenium","","","","[case 1] should check main logo",""
"passed","Wed Nov 29 21:14:05 GMT 2023","Wed Nov 29 21:14:05 GMT 2023","171","","Check the site Elemental Selenium","","","","[case 14] should check main title on page Tips ",""
"passed","Wed Nov 29 21:14:05 GMT 2023","Wed Nov 29 21:14:05 GMT 2023","164","","Check the site Elemental Selenium","","","","[case 18] should check text on External Resources Page  ",""
"passed","Wed Nov 29 21:14:05 GMT 2023","Wed Nov 29 21:14:05 GMT 2023","76","","Check the site Elemental Selenium","","","","[case 17] should check clickable of logo ",""
"passed","Wed Nov 29 21:13:54 GMT 2023","Wed Nov 29 21:13:54 GMT 2023","103","","Check the site Elemental Selenium","","","","[case 3] should check title and text under title ",""
"passed","Wed Nov 29 21:13:54 GMT 2023","Wed Nov 29 21:13:54 GMT 2023","111","","Check the site Elemental Selenium","","","","[case 4] should check email field and Join the mailing list button ",""
"passed","Wed Nov 29 21:13:56 GMT 2023","Wed Nov 29 21:13:58 GMT 2023","1495","","Check the site Elemental Selenium","","","","[case 10] should check copirathe footer text",""
"passed","Wed Nov 29 21:14:03 GMT 2023","Wed Nov 29 21:14:05 GMT 2023","1453","","Check the site Elemental Selenium","","","","[case 13] should check all right reserved in footer ",""
"passed","Wed Nov 29 21:13:54 GMT 2023","Wed Nov 29 21:13:55 GMT 2023","114","","Check the site Elemental Selenium","","","","[case 7] should check text in the blocks ",""
"passed","Wed Nov 29 21:14:05 GMT 2023","Wed Nov 29 21:14:05 GMT 2023","160","","Check the site Elemental Selenium","","","","[case 16] should check search elements on page Tips ",""
