"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 21:21:53 GMT 2023","Wed Nov 29 21:21:53 GMT 2023","132","","Check the site Elemental Selenium","","","","[case 2] should check header elements",""
"passed","Wed Nov 29 21:21:53 GMT 2023","Wed Nov 29 21:21:53 GMT 2023","425","","Check the site Elemental Selenium","","","","[case 1] should check main logo",""
"passed","Wed Nov 29 21:21:55 GMT 2023","Wed Nov 29 21:21:56 GMT 2023","1410","","Check the site Elemental Selenium","","","","[case 10] should check copirathe footer text",""
"passed","Wed Nov 29 21:22:04 GMT 2023","Wed Nov 29 21:22:04 GMT 2023","134","","Check the site Elemental Selenium","","","","[case 15] should check filters on page Tips ",""
"passed","Wed Nov 29 21:22:04 GMT 2023","Wed Nov 29 21:22:04 GMT 2023","69","","Check the site Elemental Selenium","","","","[case 16] should check search elements on page Tips ",""
"passed","Wed Nov 29 21:21:53 GMT 2023","Wed Nov 29 21:21:53 GMT 2023","43","","Check the site Elemental Selenium","","","","[case 3] should check title and text under title ",""
"passed","Wed Nov 29 21:21:54 GMT 2023","Wed Nov 29 21:21:55 GMT 2023","1392","","Check the site Elemental Selenium","","","","[case 9] should Names`s Blocks in footer ",""
"passed","Wed Nov 29 21:22:04 GMT 2023","Wed Nov 29 21:22:04 GMT 2023","106","","Check the site Elemental Selenium","","","","[case 18] should check text on External Resources Page  ",""
"passed","Wed Nov 29 21:22:04 GMT 2023","Wed Nov 29 21:22:04 GMT 2023","20","","Check the site Elemental Selenium","","","","[case 17] should check clickable of logo ",""
"passed","Wed Nov 29 21:21:53 GMT 2023","Wed Nov 29 21:21:53 GMT 2023","24","","Check the site Elemental Selenium","","","","[case 5] should check Skip it, take me to the tips ",""
"passed","Wed Nov 29 21:21:53 GMT 2023","Wed Nov 29 21:21:53 GMT 2023","49","","Check the site Elemental Selenium","","","","[case 4] should check email field and Join the mailing list button ",""
"passed","Wed Nov 29 21:21:54 GMT 2023","Wed Nov 29 21:21:54 GMT 2023","119","","Check the site Elemental Selenium","","","","[case 8] should check transitions in blocks ",""
"passed","Wed Nov 29 21:21:53 GMT 2023","Wed Nov 29 21:21:53 GMT 2023","52","","Check the site Elemental Selenium","","","","[case 6] should check 3 blocks ",""
"passed","Wed Nov 29 21:21:57 GMT 2023","Wed Nov 29 21:22:02 GMT 2023","5769","","Check the site Elemental Selenium","","","","[case 12] should check serch for word ",""
"passed","Wed Nov 29 21:22:04 GMT 2023","Wed Nov 29 21:22:04 GMT 2023","107","","Check the site Elemental Selenium","","","","[case 14] should check main title on page Tips ",""
"passed","Wed Nov 29 21:22:02 GMT 2023","Wed Nov 29 21:22:04 GMT 2023","1394","","Check the site Elemental Selenium","","","","[case 13] should check all right reserved in footer ",""
"passed","Wed Nov 29 21:22:05 GMT 2023","Wed Nov 29 21:22:05 GMT 2023","123","","Check the site Elemental Selenium","","","","[case 20] should check all imgs on External Resources Page  ",""
"passed","Wed Nov 29 21:21:53 GMT 2023","Wed Nov 29 21:21:54 GMT 2023","60","","Check the site Elemental Selenium","","","","[case 7] should check text in the blocks ",""
"passed","Wed Nov 29 21:21:56 GMT 2023","Wed Nov 29 21:21:57 GMT 2023","116","","Check the site Elemental Selenium","","","","[case 11] should check select the language ",""
"passed","Wed Nov 29 21:22:04 GMT 2023","Wed Nov 29 21:22:05 GMT 2023","576","","Check the site Elemental Selenium","","","","[case 19] should check all imgs on External Resources Page  ",""
