"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 20:40:17 GMT 2023","Wed Nov 29 20:40:17 GMT 2023","390","","Check the site Elemental Selenium","","","","[case 14] should check main title on page Tips ",""
"passed","Wed Nov 29 20:40:03 GMT 2023","Wed Nov 29 20:40:05 GMT 2023","2701","","Check the site Elemental Selenium","","","","[case 1] should check main logo",""
"passed","Wed Nov 29 20:40:08 GMT 2023","Wed Nov 29 20:40:09 GMT 2023","1478","","Check the site Elemental Selenium","","","","[case 10] should check copirathe footer text",""
"passed","Wed Nov 29 20:40:09 GMT 2023","Wed Nov 29 20:40:15 GMT 2023","5981","","Check the site Elemental Selenium","","","","[case 12] should check serch for word ",""
"passed","Wed Nov 29 20:40:06 GMT 2023","Wed Nov 29 20:40:06 GMT 2023","188","","Check the site Elemental Selenium","","","","[case 8] should check transitions in blocks ",""
"passed","Wed Nov 29 20:40:18 GMT 2023","Wed Nov 29 20:40:18 GMT 2023","166","","Check the site Elemental Selenium","","","","[case 16] should check search elements on page Tips ",""
"passed","Wed Nov 29 20:40:06 GMT 2023","Wed Nov 29 20:40:06 GMT 2023","113","","Check the site Elemental Selenium","","","","[case 3] should check title and text under title ",""
"passed","Wed Nov 29 20:40:05 GMT 2023","Wed Nov 29 20:40:06 GMT 2023","201","","Check the site Elemental Selenium","","","","[case 2] should check header elements",""
"passed","Wed Nov 29 20:40:06 GMT 2023","Wed Nov 29 20:40:06 GMT 2023","111","","Check the site Elemental Selenium","","","","[case 6] should check 3 blocks ",""
"passed","Wed Nov 29 20:40:09 GMT 2023","Wed Nov 29 20:40:09 GMT 2023","287","","Check the site Elemental Selenium","","","","[case 11] should check select the language ",""
"passed","Wed Nov 29 20:40:15 GMT 2023","Wed Nov 29 20:40:17 GMT 2023","1471","","Check the site Elemental Selenium","","","","[case 13] should check all right reserved in footer ",""
"passed","Wed Nov 29 20:40:06 GMT 2023","Wed Nov 29 20:40:06 GMT 2023","116","","Check the site Elemental Selenium","","","","[case 7] should check text in the blocks ",""
"passed","Wed Nov 29 20:40:17 GMT 2023","Wed Nov 29 20:40:18 GMT 2023","246","","Check the site Elemental Selenium","","","","[case 15] should check filters on page Tips ",""
"passed","Wed Nov 29 20:40:06 GMT 2023","Wed Nov 29 20:40:08 GMT 2023","1460","","Check the site Elemental Selenium","","","","[case 9] should Names`s Blocks in footer ",""
"passed","Wed Nov 29 20:40:18 GMT 2023","Wed Nov 29 20:40:18 GMT 2023","162","","Check the site Elemental Selenium","","","","[case 19] should check all imgs on External Resources Page  ",""
"passed","Wed Nov 29 20:40:06 GMT 2023","Wed Nov 29 20:40:06 GMT 2023","82","","Check the site Elemental Selenium","","","","[case 5] should check Skip it, take me to the tips ",""
"passed","Wed Nov 29 20:40:18 GMT 2023","Wed Nov 29 20:40:18 GMT 2023","78","","Check the site Elemental Selenium","","","","[case 17] should check clickable of logo ",""
"passed","Wed Nov 29 20:40:18 GMT 2023","Wed Nov 29 20:40:18 GMT 2023","205","","Check the site Elemental Selenium","","","","[case 18] should check text on External Resources Page  ",""
"passed","Wed Nov 29 20:40:18 GMT 2023","Wed Nov 29 20:40:18 GMT 2023","216","","Check the site Elemental Selenium","","","","[case 20] should check all imgs on External Resources Page  ",""
"passed","Wed Nov 29 20:40:06 GMT 2023","Wed Nov 29 20:40:06 GMT 2023","111","","Check the site Elemental Selenium","","","","[case 4] should check email field and Join the mailing list button ",""
