"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 20:38:55 GMT 2023","Wed Nov 29 20:38:55 GMT 2023","132","","Check the site Elemental Selenium","","","","[case 11] should check select the language ",""
"passed","Wed Nov 29 20:38:52 GMT 2023","Wed Nov 29 20:38:54 GMT 2023","1418","","Check the site Elemental Selenium","","","","[case 9] should Names`s Blocks in footer ",""
"passed","Wed Nov 29 20:38:51 GMT 2023","Wed Nov 29 20:38:51 GMT 2023","180","","Check the site Elemental Selenium","","","","[case 2] should check header elements",""
"passed","Wed Nov 29 20:39:01 GMT 2023","Wed Nov 29 20:39:02 GMT 2023","1437","","Check the site Elemental Selenium","","","","[case 13] should check all right reserved in footer ",""
"passed","Wed Nov 29 20:38:52 GMT 2023","Wed Nov 29 20:38:52 GMT 2023","165","","Check the site Elemental Selenium","","","","[case 8] should check transitions in blocks ",""
"passed","Wed Nov 29 20:38:52 GMT 2023","Wed Nov 29 20:38:52 GMT 2023","77","","Check the site Elemental Selenium","","","","[case 5] should check Skip it, take me to the tips ",""
"passed","Wed Nov 29 20:39:03 GMT 2023","Wed Nov 29 20:39:03 GMT 2023","79","","Check the site Elemental Selenium","","","","[case 17] should check clickable of logo ",""
"passed","Wed Nov 29 20:39:03 GMT 2023","Wed Nov 29 20:39:03 GMT 2023","203","","Check the site Elemental Selenium","","","","[case 15] should check filters on page Tips ",""
"passed","Wed Nov 29 20:39:03 GMT 2023","Wed Nov 29 20:39:03 GMT 2023","132","","Check the site Elemental Selenium","","","","[case 19] should check all imgs on External Resources Page  ",""
"passed","Wed Nov 29 20:38:55 GMT 2023","Wed Nov 29 20:39:01 GMT 2023","5791","","Check the site Elemental Selenium","","","","[case 12] should check serch for word ",""
"passed","Wed Nov 29 20:38:51 GMT 2023","Wed Nov 29 20:38:52 GMT 2023","95","","Check the site Elemental Selenium","","","","[case 3] should check title and text under title ",""
"passed","Wed Nov 29 20:38:51 GMT 2023","Wed Nov 29 20:38:51 GMT 2023","467","","Check the site Elemental Selenium","","","","[case 1] should check main logo",""
"passed","Wed Nov 29 20:38:52 GMT 2023","Wed Nov 29 20:38:52 GMT 2023","111","","Check the site Elemental Selenium","","","","[case 6] should check 3 blocks ",""
"passed","Wed Nov 29 20:38:52 GMT 2023","Wed Nov 29 20:38:52 GMT 2023","104","","Check the site Elemental Selenium","","","","[case 4] should check email field and Join the mailing list button ",""
"passed","Wed Nov 29 20:39:02 GMT 2023","Wed Nov 29 20:39:03 GMT 2023","162","","Check the site Elemental Selenium","","","","[case 14] should check main title on page Tips ",""
"passed","Wed Nov 29 20:38:54 GMT 2023","Wed Nov 29 20:38:55 GMT 2023","1458","","Check the site Elemental Selenium","","","","[case 10] should check copirathe footer text",""
"passed","Wed Nov 29 20:39:03 GMT 2023","Wed Nov 29 20:39:03 GMT 2023","147","","Check the site Elemental Selenium","","","","[case 16] should check search elements on page Tips ",""
"passed","Wed Nov 29 20:39:03 GMT 2023","Wed Nov 29 20:39:03 GMT 2023","198","","Check the site Elemental Selenium","","","","[case 20] should check all imgs on External Resources Page  ",""
"passed","Wed Nov 29 20:38:52 GMT 2023","Wed Nov 29 20:38:52 GMT 2023","110","","Check the site Elemental Selenium","","","","[case 7] should check text in the blocks ",""
"passed","Wed Nov 29 20:39:03 GMT 2023","Wed Nov 29 20:39:03 GMT 2023","172","","Check the site Elemental Selenium","","","","[case 18] should check text on External Resources Page  ",""
